tip,id_ploshadki,servisnyy_id,adres_razmeshcheniya,rayon,id_sk1,naimenovanie_sk1,status_oborudovaniya1,tip_sk_po_dogovoru1,id_sk2,naimenovanie_sk2,status_oborudovaniya2,tip_sk_po_dogovoru2,id_sk3,naimenovanie_sk3,status_oborudovaniya3,tip_sk_po_dogovoru3,id_sk4,naimenovanie_sk4,status_oborudovaniya4,tip_sk_po_dogovoru4,id_sk5,naimenovanie_sk5,status_oborudovaniya5,tip_sk_po_dogovoru5,planovaya_data_1_kv_2026,id_sk6,naimenovanie_sk6,status_oborudovaniya6,tip_sk_po_dogovoru6
УА,196622573,EMTS396,"г. Сестрорецк, пл. Свободы, д.1",Курортный,243601947,Daichi внутр.DA100ALKS1R/внеш.DF100ALS1R,Активирован,3,240430374,Daichi внутр.DA25AVQS1-SL/внеш.DF25AVS1-L,Активирован,1,209040080,Mitsubishi Electric внутр.MS-GA80VB/внеш.MU-GD80VB,На складе,3,,,,,,,,,20260209,,,,
УД,196622582,EMTS1050,"г. Сестрорецк, ул. Токарева, д.10",Курортный,208386369,Panasonic внутр.CS-C9GKD/внеш.CU-C9GKD,Активирован,1,223052916,Mitsubishi Electric внутр.MS-GF25VA/внеш.MU-GF25VA,Активирован,1,,,,,,,,,,,,,20260209,,,,
УД,196622593,EMTS4437,"г. Сестрорецк, ул. Токарева, д.7",Курортный,208386373,Panasonic внутр.CS-C9GKD/внеш.CU-C9GKD,Активирован,1,208386375,Panasonic внутр.CS-C9GKD/внеш.CU-C9GKD,Активирован,1,,,,,,,,,,,,,20260209,,,,
УД,196622626,EMTS1574,"п. Стрельна, ул. Фронтовая, д.8А",Петродворцовый,208386003,Daikin внутр.FT25CV1A8/внеш.R25CV1A,Активирован,1,208966010,Mitsubishi Electric внутр.SRK28HG-S/внеш.SRС28HG-S,Активирован,1,,,,,,,,,,,,,20260220,,,,
УД,204250364,EMTS3704,"г. Кронштадт, пр. Ленина, д.20",Кронштадтский,209020118,Daikin внутр.FT25DVM/внеш.R25DV1,Активирован,1,209020119,Daikin внутр.FT25DVM/внеш.R25DV1,Активирован,1,,,,,,,,,,,,,20260205,,,,
УД,204251392,EMTS3712,"г. Санкт-Петербург, ул. Беговая, д.9, корп.1",Приморский,209020110,Daikin внутр.FT25DVM/внеш.R25DV1,Активирован,1,222564919,Mitsubishi Electric внутр.MS-GF25VA/внеш.MU-GF25VA,Активирован,1,,,,,,,,,,,,,20260217,,,,
УД,204256594,EMTS3707,"г. Санкт-Петербург, ул. Большая Монетная, д.27",Петроградский,213138757,Daikin внутр.FTXS20K2V1B/внеш.RXS20K3V1B,Активирован,1,213138758,Daikin внутр.FTXS20K2V1B/внеш.RXS20K3V1B,Активирован,1,,,,,,,,,,,,,20260113,,,,
УД,204258027,EMTS1693,"г. Санкт-Петербург, ул. Омская, д.3",Приморский,209156115,Daikin внутр.FT25DVM/внеш.R25DV1,Активирован,1,209156118,Daikin внутр.FT25DVM/внеш.R25DV1,Активирован,1,,,,,,,,,,,,,20260310,,,,
УД,204259656,EMTS3710,"г. Санкт-Петербург, ул. Савушкина, д.4",Приморский,211928382,Mitsubishi Electric внутр.SRK28HG-S/внеш.SRС28HG-S,Активирован,1,244915698,Daichi внутр.DA70BLKS1R1/внеш.DF70BLS1R1,Активирован,2,,,,,,,,,,,,,20260210,,,,
УД,204260135,EMTS3711,"г. Санкт-Петербург, пр. Славы, д. 53",Фрунзенский,224547966,Daikin внутр.FT25CV1A/внеш.R25CV1A,Активирован,1,224547965,Daikin внутр.FT25CV1A/внеш.R25CV1A,Активирован,1,,,,,,,,,,,,,20260130,,,,
УД,207645812,EMTS4825,"г. Санкт-Петербург, наб. Реки Мойки, д.85",Адмиралтейский,216296209,Mitsubishi Electric внутр.SRK71ZSPR-S/внеш.SRC71ZSPR-S,Активирован,3,212634536,Mitsubishi Electric внутр.MSC-GA80VB/внеш.MU-GA80VB,Активирован,3,212634535,Mitsubishi Electric внутр.MS-GD80VB/внеш.MU-GD80VB,Активирован,3,212634534,Mitsubishi Electric внутр.MS-GA60VB/внеш.MU-GA60VB,Активирован,3,213351337,Mitsubishi Heavy Industriel внутр.SRK71HES1-S1/внеш.SRK71HES1-S1,Активирован,3,20260126,,,,
УА,207796854,EMTS5015,"г. Санкт-Петербург, пр. Шаумяна, д.20",Красногвардейский,224169707,Mitsubishi Electric внутр.MS-GF50VA/внеш.MU-GF50VА,Активирован,2,224169709,Mitsubishi Electric внутр.MS-GF50VA/внеш.MU-GF50VА,Активирован,2,,,,,,,,,,,,,20260123,,,,
УД,207935017,EMTS7043,"г. Санкт-Петербург, проезд Смольный, д.1 (п. 51) (с земли)",Центральный,210810627,Mitsubishi Electric внутр.PEA-RP250GAQ/внеш.PUHZ-P250YHA3,Активирован,5,210810621,Mitsubishi Electric внутр.PEA-RP250GAQ/внеш.PUHZ-P250YHA3,Активирован,5,,,,,,,,,,,,,20260227,,,,
УД,207955182,EMTS5018,"г. Санкт-Петербург, пр. Ленинский, д.51",Красносельский,209008373,Daikin внутр.FTXS25K2V1B/внеш.RXS25L2V1B,Активирован,1,209008374,Daikin внутр.FTXS25K2V1B/внеш.RXS25L2V1B,Активирован,1,,,,,,,,,,,,,20260311,,,,
УД,207967704,EMTS3238,"г. Санкт-Петербург, ул. Асафьева, д.1",Выборгский,209329440,Daikin внутр.FTXS25K2V1B/внеш.RXS25L2V1B,Активирован,1,208648735,Daikin внутр.FTXS25K2V1B/внеш.RXS25L2V1B,Активирован,1,,,,,,,,,,,,,20260121,,,,
